Tabelle: 21371-0001
Higher education expenditure: Germany, years, type of higher;;;;;;;;;;;;;;;;;
education institution, subject groups;;;;;;;;;;;;;;;;;
Finance stat. of institutions of higher education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Higher education expenditure (EUR 1000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
Universities (excluding medical facilities);Humanities;1163551;e;1192739;e;1264266;e;1319945;e;1339411;e;1359935;e;1439481;e;1476588;e;1512214;e;1560574;e;1629141;e;1633686;e;1639490;e;1693040;e;1754431;e;1779069;e
;Sports;144791;e;154153;e;166546;e;168728;e;171875;e;170812;e;176746;e;183640;e;190923;e;197825;e;207831;e;222906;e;216471;e;208059;e;217818;e;237581;e
;Law, Business and Economics, Social Sciences;1701690;e;1819287;e;1999287;e;2106391;e;2144778;e;2214389;e;2310377;e;2400998;e;2481942;e;2550567;e;2670418;e;2757404;e;2769036;e;2929560;e;3018986;e;3156997;e
;Mathematics, Natural Sciences;3236668;e;3441057;e;3671554;e;3943725;e;4004576;e;4049628;e;4120026;e;4160782;e;4171376;e;4308534;e;4436384;e;4447806;e;4517835;e;4655518;e;4855767;e;5047073;e
;Human Medicine/Health Science;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Agricultural, Forest a.Nutr. Sciences,Veterin.Med.;538667;e;531245;e;566869;e;547684;e;553729;e;567643;e;582131;e;585816;e;593573;e;618535;e;668009;e;684374;e;679490;e;680633;e;719299;e;736163;e
;Engineering Sciences;2597472;e;2890772;e;3154117;e;3338003;e;3377158;e;3534229;e;3707663;e;3769775;e;3782886;e;3926781;e;4022721;e;4223404;e;4343216;e;4519489;e;4834111;e;4871107;e
;Art, Art Theory;141295;e;146161;e;163319;e;162001;e;158634;e;163675;e;178288;e;188508;e;197895;e;201020;e;207322;e;202787;e;211668;e;205512;e;209556;e;211497;e
;Central facilities (excl. hospital-spec. facil.);5469002;e;5812427;e;6053838;e;6545808;e;6784437;e;6940397;e;7111983;e;7560671;e;7550541;e;7897466;e;8269732;e;9037110;e;9438435;e;9525455;e;10298245;e;11314518;e
;Total;14993135;e;15987840;e;17039797;e;18132285;e;18534598;e;19000709;e;19626694;e;20326778;e;20481351;e;21261301;e;22111559;e;23209477;e;23815640;e;24417266;e;25908212;e;27354005;e
Medical facilities at universities;Humanities;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Sports;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Law, Business and Economics, Social Sciences;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
;Mathematics, Natural Sciences;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
