freq,sectperf,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,BES,EUR_HAB,AT	: 	51.466 d	: 	: 	73.162 	79.528 	: 	: 	: 	121.589 	: 	: 	: 	164.959 	: 	: 	: 	: 	269.221 	: 	: 	: 	388.272 	: 	436.776 	513.045 e	538.953 	585.038 	629.831 e	611.026 	660.998 e	679.729 	777.874 e	802.003 	860.938 e	873.448 	899.32 e	899.187 	943.431 e	987.624 	953.084 e	1019.606 	1091.897 e	1178.45 p
A,BES,EUR_HAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.446 	6.695 	1.774 	: 	: 	: 	: 	3.419 	3.63 	3.712 	: 	: 
A,BES,EUR_HAB,BE	: 	92.121 	95.968 	105.167 	115.24 	128.929 	140.399 	150.627 	156.525 	159.342 	: 	176.71 e	202.039 b	223.749 	237.468 	255.266 	270.585 	284.24 	295.726 	323.791 	350.482 	382.047 	355.232 	348.392 	358.952 	361.447 	390.588 	417.627 	435.93 	425.438 	463.814 	510.279 	555.166 	570.735 	597.09 	629.722 	658.177 	734.127 	827.524 	972.758 	1001.321 	1114.088 	1176.349 e	1249.8 p
A,BES,EUR_HAB,BG	: 	: 	: 	: 	: 	: 	: 	35.345 	48.143 	54.627 	16.83 	3.826 	3.82 	6.469 	4.205 	3.633 	2.886 b	1.288 	1.458 	1.718 b	1.865 	1.787 	1.912 	2.27 	3.041 	2.98 	4.048 	5.744 	6.877 	7.407 	14.612 	15.867 	20.956 	22.62 	31.39 	45.378 	39.639 	39.867 	45.103 	51.644 	53.788 	55.355 	67.7 	74.839 p
A,BES,EUR_HAB,CH	: 	226.259 	: 	288.384 b	: 	: 	477.094 b	: 	: 	521.121 	: 	: 	512.108 	: 	: 	: 	637.583 	: 	: 	: 	706.895 	: 	: 	: 	849.696 	: 	: 	: 	993.868 	: 	: 	: 	1336.988 	: 	: 	1587.05 	: 	1508.523 	: 	1629.766 	: 	1790.145 	: 	: 
A,BES,EUR_HAB,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.563 b	6.659 	7.836 	7.937 	9.817 	12.556 	16.223 	19.484 	24.907 	33.415 b	43.106 	54.209 	71.185 	81.302 	89.291 	112.808 	118.633 	127.888 	138.822 	155.137 	167.929 	199.563 	238.941 	: 
A,BES,EUR_HAB,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.198 	2.301 	: 	: 	: 	: 	: 	3.886 	6.35 	7.57 	7.635 	9.722 	12.33 	13.773 	16.592 	19.064 	21.253 	21.553 	20.622 	18.063 	16.392 	16.194 	19.631 	23.321 	22.995 	43.125 	47.898 	62.375 	80.669 	92.193 	93.902 	95.588 	96.122 p
A,BES,EUR_HAB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.577 d	24.649 d	25.378 b	27.407 	33.023 	39.755 	39.161 	43.406 	48.918 	57.445 	60.592 	67.358 	73.041 	87.574 	101.261 	111.339 	102.05 	113.462 	132.424 	144.693 	151.945 	162.298 	167.485 	171.672 	203.988 	233.921 	251.694 	244.293 	284.498 	331.318 	347.834 p
A,BES,EUR_HAB,DE	: 	169.005 	195.187 e	212.749 	230.63 e	263.85 	296.081 e	323.868 	341.645 e	360.329 	373.184 e	313.85 b	320.534 e	323.477 	323.729 e	343.289 	340.644 e	350.973 	367.177 	409.846 	433.283 	441.674 	448.203 	460.753 	464.828 	468.493 	499.139 	522.797 	560.377 	552.118 	573.688 	636.698 	669.632 	665.222 	705.686 	750.663 	764.533 	833.567 	870.869 	913.408 	854.092 	911.083 	982.847 	1051.544 p
A,BES,EUR_HAB,DK	: 	54.711 	65.714 	78.161 	90.069 	103.697 	120.391 	136.757 	147.921 	158.412 	183.338 	202.794 	215.875 e	232.616 	: 	278.409 	309.829 e	337.033 	387.686 	434.105 	487.076 	548.532 	595.745 	623.17 	617.273 	642.488 	668.372 	753.042 b	855.355 	894.612 	859.136 	875.848 	891.786 	868.941 	877.594 	935.398 	998.267 	953.095 	979.081 	981.458 p	979.033 	1007.75 p	1145.183 	1160.277 p
A,BES,EUR_HAB,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	249.765 e	261.559 e	268.964 e	274.023 e	281.494 e	288.169 e	308.234 e	326.347 	345.386 e	340.444 e	352.153 e	378.504 e	392.809 e	401.157 e	416.144 e	431.87 	446.275 e	476.913 	500.794 e	528.528 	512.249 e	547.267 	591.699 e	626.044 e
A,BES,EUR_HAB,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234.559 e	246.47 e	254.553 e	270.783 e	278.263 e	284.82 e	297.847 e	316.878 	341.531 e	333.839 e	346.108 e	371.214 e	386.053 e	395.213 e	411.485 e	427.155 	441.448 e	471.856 	495.662 e	523.311 	507.302 e	542.095 	586.613 e	620.838 e
A,BES,EUR_HAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.048 	6.348 	5.948 	11.78 	12.343 	16.475 	23.586 	34.513 	49.674 	60.97 	67.152 	66.036 	87.575 	182.637 	165.254 	117.863 	94.868 	106.056 	105.787 	109.164 	117.38 	182.289 	198.867 	231.307 	270.858 	296.957 
A,BES,EUR_HAB,EL	: 	1.607 	: 	: 	: 	: 	3.838 	: 	4.633 	5.084 	: 	6.712 	: 	9.61 	: 	12.228 	11.255 	13.034 	: 	21.075 	18.75 	25.664 	26.368 	28.719 	29.009 e	32.576 	33.377 e	34.753 	45.276 be	48.476 e	47.97 e	43.679 	41.366 	44.412 	46.159 	51.721 	68.659 	92.313 	97.708 	100.507 	107.279 	116.606 	143.931 	159.204 p
A,BES,EUR_HAB,ES	: 	8.571 	11.501 	10.737 	13.51 	17.298 	20.833 	23.067 	30.654 	37.777 	48.973 	53.74 	52.694 	45.459 	40.875 	44.092 	48.431 	49.455 	60.918 	64.438 	75.833 	80.191 	95.682 b	106.232 	114.341 	126.686 	149.001 	166.439 	176.784 b	163.662 	161.475 	158.492 	151.528 	147.849 	145.913 	149.055 	153.515 	166.224 	181.048 	186.3 	185.278 	204.557 	229.574 	262.361 p
A,BES,EUR_HAB,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	214.166 e	225.004 e	231.313 e	235.651 e	241.433 e	247.785 e	266.569 e	281.766 e	300.263 e	293.361 e	304.141 e	327.56 e	341.134 e	349.479 e	360.887 e	377.644 e	392.144 e	419.853 e	441.484 e	465.979 e	455.284 e	489.647 e	531.779 e	563.946 e
A,BES,EUR_HAB,FI	: 	61.801 	: 	86.014 	114.668 e	134.178 	143.617 	160.41 	192.141 e	235.001 	254.985 e	231.881 	201.893 e	184.171 	236.384 	280.546 	330.296 e	377.591 	434.973 	512.425 	606.412 	633.841 	649.696 	677.627 	705.681 	740.345 	781.605 	855.295 	962.551 	910.041 	907.134 	939.008 	869.24 	848.107 	808.894 	739.672 	711.041 	731.979 	766.697 	798.834 	840.553 	931.142 	972.729 	1025.006 
A,BES,EUR_HAB,FR	: 	104.499 	115.595 	121.822 	137.208 	156.968 	167.707 	176.894 	189.315 	211.489 	235.514 	246.585 	263.694 b	274.382 	279.051 	282.178 	290.762 	288.277 b	292.315 	310.099 	319.571 	340.807 b	355.539 	349.899 	361.576 b	358.485 	378.154 b	388.918 	402.474 	410.658 	424.606 	444.001 	460.214 	466.303 	470.528 	476.458 	485.09 	494.225 	507.607 	523.408 	513.162 	538.587 	573.375 	594.325 p
A,BES,EUR_HAB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.82 	26.514 	33.366 	29.887 	25.323 	32.789 	43.709 	35.7 	34.347 	35.056 	35.382 	41.836 	38.881 	45.922 	44.964 	50.252 	60.031 	74.129 	76.269 	86.654 	134.795 	153.348 p
A,BES,EUR_HAB,HU	: 	: 	: 	: 	: 	: 	: 	23.393 d	18.857 d	17.629 d	9.388 d	7.501 d	6.303 d	10.107 d	10.59 bd	10.521 d	9.693 d	11.755 d	10.667 d	12.138 d	17.571 d	21.539 d	24.606 d	25.1 d	29.317 d	35.814 d	43.139 d	48.879 d	55.429 d	60.891 d	67.258 d	75.303 d	83.079 d	99.291 d	103.753 d	113.044 d	103.984 d	125.577 d	159.656 bd	167.102 d	173.301 d	197.883 d	175.833 	206.5 
A,BES,EUR_HAB,IE	: 	15.31 	17.756 	19.384 	24.221 	29.934 	34.714 	35.555 	38.475 	45.316 e	52.732 	65.068 	78.8 e	94.718 	112.638 e	126.19 	148.391 e	176.53 	189.297 	209.969 	222.948 	234.816 	253.404 	278.745 	300.334 	323.469 	348.466 	369.391 	378.373 	413.254 	403.04 e	406.836 	427.45 e	438.611 	454.262 	477.4 	485.117 	577.229 	572.055 e	659.128 	676.528 e	765.559 	: 	: 
A,BES,EUR_HAB,IS	: 	8.363 	: 	15.163 	: 	18.075 	: 	23.495 	: 	38.57 	37.286 	53.827 	60.177 	82.262 	85.413 	98.025 	: 	180.481 	198.528 	318.468 	507.866 e	541.48 	558.083 e	491.158 	: 	637.976 	706.77 	710.965 	471.055 	385.456 	415.337 be	438.545 be	: 	356.259 b	489.139 	690.894 	768.719 	868.379 	821.457 	992.898 	877.52 	1178.006 	1364.055 	1393.897 
A,BES,EUR_HAB,IT	: 	32.044 	37.291 	45.065 	52.833 	63.472 	71.861 	79.073 	88.243 	101.657 	114.898 	113.258 b	110.637 	90.33 	84.571 	78.792 	92.019 	94.873 	96.861 	99.879 	109.603 	116.939 	123.813 	122.04 	126.588 	135.341 	140.855 	161.589 	172.424 	172.299 	177.235 	180.577 	184.796 	190.46 	204.55 	213.721 	234.164 b	247.06 	265.843 	277.334 	259.336 	264.111 	275.626 	274.979 p
A,BES,EUR_HAB,JP	85.205 	125.465 	139.68 	180.499 	228.215 	271.769 	304.882 	318.893 	388.324 	439.846 	408.202 	471.554 	467.369 	556.779 	591.621 	608.942 	579.462 b	617.032 	583.826 	692.179 	860.837 	828.78 	769.694 	703.445 	691.06 	729.031 	713.958 	670.184 	698.471 	718.114 	806.924 	865.177 	930.977 	768.744 	760.879 	801.642 	872.91 	859.481 	863.141 	923.244 	904.897 	872.655 	877.32 	: 
A,BES,EUR_HAB,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	110.009 d	144.072 d	209.053 d	224.362 d	231.675 d	224.936 d	248.814 d	302.502 d	363.898 d	385.078 	330.006 	322.197 	432.146 	496.116 	594.751 	635.03 	702.656 	797.73 	820.281 	954.061 	1027.188 	1058.262 	1055.202 	1153.31 	1275.362 	: 
A,BES,EUR_HAB,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.321 	0.73 	0.295 	0.649 	4.472 	7.613 	4.861 	6.769 	8.632 	9.538 	16.181 	20.416 	19.058 	17.12 	20.546 	24.279 	26.748 	28.45 	39.465 	36.472 	39.564 	48.779 	63.094 	74.739 	94.448 	109.078 	126.301 	113.137 p
A,BES,EUR_HAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	777.214 	: 	: 	846.308 	863.812 	884.591 	1033.926 	1039.508 	996.282 	953.799 	796.708 	813.145 	591.404 b	591.95 	603.806 	635.038 	685.468 	680.587 	623.085 	652.881 	563.547 	601.136 	618.41 	575.001 p
